"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Osmani L.; Kauppinen T.; Komu M.; Tarkoma S.","Osmani, Lirim (56241211700); Kauppinen, Tero (56266408500); Komu, Miika (23008660900); Tarkoma, Sasu (10141380000)","56241211700; 56266408500; 23008660900; 10141380000","Multi-Cloud Connectivity for Kubernetes in 5G Networks","2021","IEEE Communications Magazine","59","10","","42","47","34","10.1109/MCOM.110.2100124","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85120522419&doi=10.1109%2FMCOM.110.2100124&partnerID=40&md5=cb94d77ffe1e4c404d0f70c10e31112b","Article","Final","","Scopus","2-s2.0-85120522419"
"Carrión C.","Carrión, Carmen (56208197700)","56208197700","Kubernetes as a Standard Container Orchestrator - A Bibliometric Analysis","2022","Journal of Grid Computing","20","4","42","","","13","10.1007/s10723-022-09629-8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85143380522&doi=10.1007%2Fs10723-022-09629-8&partnerID=40&md5=35f691ef316f34b894db63fe49a319c5","Article","Final","","Scopus","2-s2.0-85143380522"
"Wang Y.-X.; Tao W.-J.; Zhao S.-P.; Zhang Y.-P.","Wang, Yi-Xiao (58636230900); Tao, Wen-Jian (58161060900); Zhao, Shao-Peng (58636042100); Zhang, Yan-Ping (58636104100)","58636230900; 58161060900; 58636042100; 58636104100","Enhancing Load Balancing in Computer-Aided Medical Systems Using Deep Reinforcement Learning","2024","Computer-Aided Design and Applications","21","S9","","265","276","0","10.14733/cadaps.2024.S9.265-276","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85173561138&doi=10.14733%2Fcadaps.2024.S9.265-276&partnerID=40&md5=5b238a743096ca4bfeeb9a1b05160848","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85173561138"
"Malhotra A.; Elsayed A.; Torres R.; Venkatraman S.","Malhotra, Antra (58534298700); Elsayed, Amr (58534482600); Torres, Randolph (58535018700); Venkatraman, Srinivas (58535204700)","58534298700; 58534482600; 58535018700; 58535204700","Evaluate Canary Deployment Techniques Using Kubernetes, Istio, and Liquibase for Cloud Native Enterprise Applications to Achieve Zero Downtime for Continuous Deployments","2024","IEEE Access","12","","","87883","87899","5","10.1109/ACCESS.2024.3416087","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85196540561&doi=10.1109%2FACCESS.2024.3416087&partnerID=40&md5=44e8f65e7a5e7970728b89163293ee3f","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85196540561"
"Trakadas P.; Karkazis P.; Leligou H.C.; Zahariadis T.; Vicens F.; Zurita A.; Alemany P.; Soenen T.; Parada C.; Bonnet J.; Fotopoulou E.; Zafeiropoulos A.; Kapassa E.; Touloupou M.; Kyriazis D.","Trakadas, Panagiotis (6603036390); Karkazis, Panagiotis (35195881400); Leligou, Helen C. (6602311122); Zahariadis, Theodore (55410698800); Vicens, Felipe (57195630348); Zurita, Arturo (57210864479); Alemany, Pol (57204420241); Soenen, Thomas (57194413052); Parada, Carlos (55978747800); Bonnet, Jose (57188802801); Fotopoulou, Eleni (8727584800); Zafeiropoulos, Anastasios (24333644200); Kapassa, Evgenia (57201027060); Touloupou, Marios (57202604831); Kyriazis, Dimosthenis (16301182100)","6603036390; 35195881400; 6602311122; 55410698800; 57195630348; 57210864479; 57204420241; 57194413052; 55978747800; 57188802801; 8727584800; 24333644200; 57201027060; 57202604831; 16301182100","Comparison of management and orchestration solutions for the 5G era","2020","Journal of Sensor and Actuator Networks","9","1","4","","","51","10.3390/jsan9010004","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85080102959&doi=10.3390%2Fjsan9010004&partnerID=40&md5=f1f4d81cc3ccc0a01f9a82e852cc0908","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85080102959"
"Unyi D.; Rigó E.; Gyires-Tóth B.; Lovas R.","Unyi, Dániel (57239188500); Rigó, Ernő (57343975400); Gyires-Tóth, Bálint (57202306607); Lovas, Róbert (22433533300)","57239188500; 57343975400; 57202306607; 22433533300","Explainable GNN-Based Approach to Fault Forecasting in Cloud Service Debugging","2025","IEEE Transactions on Network and Service Management","22","6","","5640","5657","0","10.1109/TNSM.2025.3602223","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105014390422&doi=10.1109%2FTNSM.2025.3602223&partnerID=40&md5=acdab6451e68f1c112050fd2de94947b","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-105014390422"
"Yang W.; Chen P.; Yu G.; Zhang H.; Zhang H.","Yang, Wanqi (58842867500); Chen, Pengfei (55490244700); Yu, Guangba (57211137948); Zhang, Haibin (58765780700); Zhang, Huxing (58739292600)","58842867500; 55490244700; 57211137948; 58765780700; 58739292600","Network shortcut in data plane of service mesh with eBPF","2024","Journal of Network and Computer Applications","222","","103805","","","11","10.1016/j.jnca.2023.103805","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85179840767&doi=10.1016%2Fj.jnca.2023.103805&partnerID=40&md5=76d330541f9284df252f998070a0a451","Article","Final","","Scopus","2-s2.0-85179840767"
"Barron-Lugo J.A.; Gonzalez-Compean J.L.; Lopez-Arevalo I.; Carretero J.; Martinez-Rodriguez J.L.","Barron-Lugo, J. Armando (58157875100); Gonzalez-Compean, J.L. (57213190221); Lopez-Arevalo, Ivan (56000858100); Carretero, Jesus (7101919482); Martinez-Rodriguez, Jose L. (55642245600)","58157875100; 57213190221; 56000858100; 7101919482; 55642245600","Xel: A cloud-agnostic data platform for the design-driven building of high-availability data science services","2023","Future Generation Computer Systems","145","","","87","103","14","10.1016/j.future.2023.03.019","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85150868088&doi=10.1016%2Fj.future.2023.03.019&partnerID=40&md5=321b8350ac84df93c2008ffc00667df9","Article","Final","","Scopus","2-s2.0-85150868088"
"Yoon G.; Shin J.; Kim J.-S.; Kim S.; Jeong J.; Choi Y.-H.","Yoon, Geonwoo (59916023400); Shin, Jinmyeong (57203464861); Kim, Jae-Seok (57945003100); Kim, Seunghyuk (60221701900); Jeong, Jaeyoung (60221817300); Choi, Yoon-Ho (56532761600)","59916023400; 57203464861; 57945003100; 60221701900; 60221817300; 56532761600","Container-Specific Service Mesh-Based System for Mitigating Lateral Movement Attacks","2026","IEEE Transactions on Cloud Computing","14","1","","92","109","0","10.1109/TCC.2026.3657486","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105028588840&doi=10.1109%2FTCC.2026.3657486&partnerID=40&md5=42fc85d19b1ffd86312fd7e3712e8cfa","Article","Final","","Scopus","2-s2.0-105028588840"
"Ali A.H.","Ali, Ahmed H. (57216792361)","57216792361","Micro Services-Based Integral Architecture for Digital Transformation: a Scalable and Modular Approach","2024","International Journal on Engineering Applications","12","4","","244","250","1","10.15866/irea.v12i4.23640","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85210507362&doi=10.15866%2Firea.v12i4.23640&partnerID=40&md5=1b7b5360af13293869fbc91205e86355","Article","Final","","Scopus","2-s2.0-85210507362"
"Han C.; Kim T.; Lee W.; Shin Y.","Han, Changhee (57208339505); Kim, Taehun (57214122537); Lee, Woomin (58818025400); Shin, Youngjoo (24072188200)","57208339505; 57214122537; 58818025400; 24072188200","S-ZAC: Hardening Access Control of Service Mesh Using Intel SGX for Zero Trust in Cloud","2024","Electronics (Switzerland)","13","16","3213","","","3","10.3390/electronics13163213","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85202650778&doi=10.3390%2Felectronics13163213&partnerID=40&md5=9e514c9d05194d5b979accd18a4f46c3","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85202650778"
"Okindo G.; Kamucha G.; Oyie N.","Okindo, Geoffrey (59303304200); Kamucha, George (56097309200); Oyie, Nicholas (57200570185)","59303304200; 56097309200; 57200570185","Dynamic Optimization in 5G Network Slices: A Comparative Study of Whale Optimization, Particle Swarm Optimization, and Genetic Algorithm","2024","International Journal of Electrical and Electronics Research","12","3","","849","862","2","10.37391/ijeer.120316","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85202468126&doi=10.37391%2Fijeer.120316&partnerID=40&md5=4913775e70e1d0d9b6aa178c0c5586fd","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85202468126"
"Hashem Eiza M.; Akwirry B.; Raschella A.; Mackay M.; Maheshwari M.K.","Hashem Eiza, Max (59492795300); Akwirry, Brian (57958532900); Raschella, Alessandro (35079383400); Mackay, Michael (14037715300); Maheshwari, Mukesh Kumar (57191446044)","59492795300; 57958532900; 35079383400; 14037715300; 57191446044","A Hybrid Zero Trust Deployment Model for Securing O-RAN Architecture in 6G Networks","2025","Future Internet","17","8","372","","","0","10.3390/fi17080372","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105014416458&doi=10.3390%2Ffi17080372&partnerID=40&md5=0253e8875a4de78f8a84e83357505587","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105014416458"
"Onoe H.; Kotani D.; Okabe Y.","Onoe, Hiroya (58759096000); Kotani, Daisuke (53363713900); Okabe, Yasuo (7102070059)","58759096000; 53363713900; 7102070059","PiCoP: Service Mesh for Sharing Microservices in Multiple Environments Using Protocol-Independent Context Propagation","2025","IEEE Transactions on Cloud Computing","13","1","","383","396","0","10.1109/TCC.2025.3531954","https://www.scopus.com/inward/record.uri?eid=2-s2.0-86000436657&doi=10.1109%2FTCC.2025.3531954&partnerID=40&md5=183a79d3f16dc72c19fd8c3158fbe7d3","Article","Final","","Scopus","2-s2.0-86000436657"
"Montebugnoli S.; Sabbioni A.; Foschini L.; Corradi A.","Montebugnoli, Sofia (58614357200); Sabbioni, Andrea (57196191696); Foschini, Luca (7004212533); Corradi, Antonio (57200217801)","58614357200; 57196191696; 7004212533; 57200217801","Service Mesh: The Rise of Event-Driven Asynchronous Mesh in Cloud Continuum","2026","IT Professional","28","1","","51","58","0","10.1109/MITP.2025.3605101","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105030655481&doi=10.1109%2FMITP.2025.3605101&partnerID=40&md5=fac7295669b4e2dee9a42f20736b638a","Article","Final","","Scopus","2-s2.0-105030655481"
"Nicolas-Plata A.; Gonzalez-Compean J.L.; Sosa-Sosa V.J.","Nicolas-Plata, Antonio (58951869800); Gonzalez-Compean, Jose Luis (57213190221); Sosa-Sosa, Victor Jesus (6506881337)","58951869800; 57213190221; 6506881337","A service mesh approach to integrate processing patterns into microservices applications","2024","Cluster Computing","27","6","","7417","7438","4","10.1007/s10586-024-04342-5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85188425529&doi=10.1007%2Fs10586-024-04342-5&partnerID=40&md5=d33a6880b2a216972c17c144de849c08","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85188425529"
"Bilbao-Jayo A.; Cantero X.; Almeida A.; Fasano L.; Montanaro T.; Sergi I.; Patrono L.","Bilbao-Jayo, Aritz (57204671327); Cantero, Xabier (36661955100); Almeida, Aitor (13006716300); Fasano, Luca (59020985100); Montanaro, Teodoro (56285236200); Sergi, Ilaria (55512097200); Patrono, Luigi (6507173572)","57204671327; 36661955100; 13006716300; 59020985100; 56285236200; 55512097200; 6507173572","Location Based Indoor and Outdoor Lightweight Activity Recognition System","2022","Electronics (Switzerland)","11","3","360","","","9","10.3390/electronics11030360","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123363253&doi=10.3390%2Felectronics11030360&partnerID=40&md5=b1f2e0890d7dbaec4ae4d39fabb93573","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85123363253"
"Kim B.; Kim J.; Lee S.","Kim, Bom (59396808700); Kim, Jinwoo (55862677800); Lee, Seungsoo (56659533400)","59396808700; 55862677800; 56659533400","Exploring Security Enhancements in Kubernetes CNI: A Deep Dive Into Network Policies","2025","IEEE Access","13","","","35322","35338","5","10.1109/ACCESS.2025.3543841","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85218781501&doi=10.1109%2FACCESS.2025.3543841&partnerID=40&md5=aa7c5846966750090a5731b4ab28829b","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85218781501"
"Zeng Q.; Kavousi M.; Luo Y.; Jin L.; Chen Y.","Zeng, Qingyang (58149180200); Kavousi, Mohammad (57355277400); Luo, Yinhong (58148600400); Jin, Ling (57204568234); Chen, Yan (35228782000)","58149180200; 57355277400; 58148600400; 57204568234; 35228782000","Full-stack vulnerability analysis of the cloud-native platform","2023","Computers and Security","129","","103173","","","22","10.1016/j.cose.2023.103173","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85150434506&doi=10.1016%2Fj.cose.2023.103173&partnerID=40&md5=1d89bdc91eced325b736a244604720be","Article","Final","","Scopus","2-s2.0-85150434506"
"Ahmed R.; Ren S.; Kim E.; Lee C.","Ahmed, Rizwan (60512331700); Ren, Shuyang (57221663747); Kim, Eunsam (9275991800); Lee, Choonhwa (7410152898)","60512331700; 57221663747; 9275991800; 7410152898","Efficient service mesh traffic management for cloud-native applications","2026","PLOS ONE","21","3 March","e0344516","","","0","10.1371/journal.pone.0344516","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105033050505&doi=10.1371%2Fjournal.pone.0344516&partnerID=40&md5=084f4f79aaa06b75704c11839eecfd3a","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105033050505"
"Alboqmi R.; Gamble R.F.","Alboqmi, Rami (57987647500); Gamble, Rose F. (56267147700)","57987647500; 56267147700","Enhancing Microservice Security Through Vulnerability-Driven Trust in the Service Mesh Architecture","2025","Sensors","25","3","914","","","4","10.3390/s25030914","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85218257743&doi=10.3390%2Fs25030914&partnerID=40&md5=ee48db6cba91fd0988bbfe33615c9134","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85218257743"
"Baruffa G.; Detti A.; Rugini L.; Crocetti F.; Banelli P.; Costante G.; Valigi P.","Baruffa, Giuseppe (7003522993); Detti, Andrea (6602789368); Rugini, Luca (6602935941); Crocetti, Francesco (56528505800); Banelli, Paolo (6603361936); Costante, Gabriele (55555456700); Valigi, Paolo (6701830783)","7003522993; 6602789368; 6602935941; 56528505800; 6603361936; 55555456700; 6701830783","AI-Driven Ground Robots: Mobile Edge Computing and mmWave Communications at Work","2024","IEEE Open Journal of the Communications Society","5","","","1","16","6","10.1109/OJCOMS.2024.3399015","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85192774987&doi=10.1109%2FOJCOMS.2024.3399015&partnerID=40&md5=d495c9c34ece865347ed43b6ab36c668","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85192774987"
"Kang H.; Shin S.","Kang, Haney (57224010623); Shin, Seungwon (56185462100)","57224010623; 56185462100","Verikube: Automatic and Efficient Verification for Container Network Policies","2022","IEICE Transactions on Information and Systems","E105D","12","","2131","2134","4","10.1587/transinf.2022EDL8046","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85144534333&doi=10.1587%2Ftransinf.2022EDL8046&partnerID=40&md5=264312461ea9f24f3ad698e065543612","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85144534333"
"Jain V.; Singh B.; Choudhary N.; Yadav P.K.","Jain, Vipin (57189248372); Singh, Baldev (57209538220); Choudhary, Nilam (57192108737); Yadav, Praveen Kumar (59849496100)","57189248372; 57209538220; 57192108737; 59849496100","A Hybrid Model for Real-Time Docker Container Threat Detection and Vulnerability Analysis","2023","International Journal of Intelligent Systems and Applications in Engineering","11","6s","","782","793","2","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85168624348&partnerID=40&md5=3635a84766947d3949ec40b8bd939177","Article","Final","","Scopus","2-s2.0-85168624348"
"Ataei P.","Ataei, Pouya (57486194000)","57486194000","Cybermycelium: a reference architecture for domain-driven distributed big data systems","2024","Frontiers in Big Data","7","","1448481","","","2","10.3389/fdata.2024.1448481","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85209353092&doi=10.3389%2Ffdata.2024.1448481&partnerID=40&md5=9afbd05b2af892eb61b5c3058a64da54","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85209353092"
"Liu L.; Deng J.; Tang Y.","Liu, Liang (58290605700); Deng, Jiqiu (7402612854); Tang, Yu (59784938100)","58290605700; 7402612854; 59784938100","A Dynamic Management and Integration Framework for Models in Landslide Early Warning System","2023","ISPRS International Journal of Geo-Information","12","5","198","","","3","10.3390/ijgi12050198","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85160282025&doi=10.3390%2Fijgi12050198&partnerID=40&md5=e7bef12ddec27125cc233fdec630493a","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85160282025"
"Pallewatta S.; Kostakos V.; Buyya R.","Pallewatta, Samodha (57202956438); Kostakos, Vassilis (6508135447); Buyya, Rajkumar (57194845546)","57202956438; 6508135447; 57194845546","MicroFog: A framework for scalable placement of microservices-based IoT applications in federated Fog environments","2024","Journal of Systems and Software","209","","111910","","","19","10.1016/j.jss.2023.111910","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85179470424&doi=10.1016%2Fj.jss.2023.111910&partnerID=40&md5=696f223bf1b69095e0f5d63aed9313cd","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85179470424"
"Detti A.; Funari L.; Petrucci L.","Detti, Andrea (6602789368); Funari, Ludovico (57217679452); Petrucci, Luca (57194168218)","6602789368; 57217679452; 57194168218","μBench: An Open-Source Factory of Benchmark Microservice Applications","2023","IEEE Transactions on Parallel and Distributed Systems","34","3","","968","980","47","10.1109/TPDS.2023.3236447","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85147297066&doi=10.1109%2FTPDS.2023.3236447&partnerID=40&md5=f5738e40560b62967ce41b5fccc0e78c","Article","Final","","Scopus","2-s2.0-85147297066"
"Sultan S.; Ahmad I.; Dimitriou T.","Sultan, Sari (56959956000); Ahmad, Imtiaz (24074061100); Dimitriou, Tassos (14021358400)","56959956000; 24074061100; 14021358400","Container security: Issues, challenges, and the road ahead","2019","IEEE Access","7","","8693491","52976","52996","264","10.1109/ACCESS.2019.2911732","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85067090032&doi=10.1109%2FACCESS.2019.2911732&partnerID=40&md5=139a2a3d2341b5d77f0c7d247f994d61","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85067090032"
"Michelinakis F.; Pujol-Roig J.S.; Malacarne S.; Xie M.; Dreibholz T.; Majumdar S.; Poe W.Y.; Patounas G.; Guerrero C.; Elmokashfi A.; Theodorou V.","Michelinakis, Foivos (56444470200); Pujol-Roig, Joan S. (57215559606); Malacarne, Sara (57199720055); Xie, Min (56970345500); Dreibholz, Thomas (8977554300); Majumdar, Sayantini (57217211230); Poe, Wint Yi (35422814700); Patounas, Georgios (56503904800); Guerrero, Carmen (23388997100); Elmokashfi, Ahmed (23566601500); Theodorou, Vasileios (56347435100)","56444470200; 57215559606; 57199720055; 56970345500; 8977554300; 57217211230; 35422814700; 56503904800; 23388997100; 23566601500; 56347435100","AI Anomaly Detection for Cloudified Mobile Core Architectures","2023","IEEE Transactions on Network and Service Management","20","2","","1976","1992","2","10.1109/TNSM.2022.3203246","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85137553182&doi=10.1109%2FTNSM.2022.3203246&partnerID=40&md5=793ca99daf4ff2da4d3cf492fdad107c","Article","Final","","Scopus","2-s2.0-85137553182"
"Peng K.; Hu Y.; Ding H.; Chen H.; Wang L.; Cai C.; Hu M.","Peng, Kai (49962095200); Hu, Yi (57669983700); Ding, Haonan (59529547400); Chen, Haoxuan (59529249700); Wang, Liangyuan (58602828200); Cai, Chao (57195591821); Hu, Menglan (55458917900)","49962095200; 57669983700; 59529547400; 59529249700; 58602828200; 57195591821; 55458917900","Large-Scale Service Mesh Orchestration With Probabilistic Routing in Cloud Data Centers","2025","IEEE Transactions on Services Computing","18","2","","868","882","9","10.1109/TSC.2025.3526373","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105003038625&doi=10.1109%2FTSC.2025.3526373&partnerID=40&md5=c5b0b8a1ab8b53b7e77293d5b2d6ea92","Article","Final","","Scopus","2-s2.0-105003038625"
"Wang K.; Hu C.; Shan C.","Wang, Kewei (57644129500); Hu, Changzhen (7404569966); Shan, Chun (56102670900)","57644129500; 7404569966; 56102670900","Calculation of utility of network services based on state manifolds","2022","Computer Networks","217","","109258","","","0","10.1016/j.comnet.2022.109258","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85137175467&doi=10.1016%2Fj.comnet.2022.109258&partnerID=40&md5=75c4c82244676c6eae567b1a81f85b3f","Article","Final","","Scopus","2-s2.0-85137175467"
