Title,Year,Source,Database
Research on Architecture of Internet of Things Platform Based on Service Mesh,2020,2020 12th International Conference on Measuring Technology and Mechatronics Automation (ICMTMA),IEEE
A Service Mesh-Driven Continuous Delivery Strategy for Microservices with Intelligent Decision Models,2025,"2025 2nd International Conference on Machine Learning, Pattern Recognition and Automation Engineering (MLPRAE)",IEEE
HEART: Heterogeneous-Aware Traffic Allocation in Multi-Replica Deployments on Kubernetes,2025,2025 IEEE 18th International Conference on Cloud Computing (CLOUD),IEEE
Research and Implementation of Online Judgment System Based on Micro Service,2019,2019 IEEE 10th International Conference on Software Engineering and Service Science (ICSESS),IEEE
A Design of Service Mesh Based 5G Core Network Using Cilium,2023,2023 International Conference on Information Networking (ICOIN),IEEE
Microservices Architecture in Fintech: A Case Study on Scalable Loan Processing with Classical Design Patterns,2025,"2025 Intelligent Methods, Systems, and Applications​ (IMSA)",IEEE
Self-Adaptive Circuit Breaker Open-State Interval for Enhancing Resiliency of Microservices,2024,2024 OITS International Conference on Information Technology (OCIT),IEEE
Reinforcement Learning Based Scheme for On-Demand Vehicular Fog Formation and Micro Services Placement,2022,2022 International Wireless Communications and Mobile Computing (IWCMC),IEEE
Energy-aware Service Mesh Deployment and Online Request Routing in Edge: a Hierarchical Deep Reinforcement Learning Approach,2026,IEEE Transactions on Mobile Computing,IEEE
Large-Scale Service Mesh Orchestration With Probabilistic Routing in Cloud Data Centers,2025,IEEE Transactions on Services Computing,IEEE
A Web-based Orchestrator for Dynamic Service Function Chaining Development with Kubernetes,2022,2022 IEEE 8th International Conference on Network Softwarization (NetSoft),IEEE
A Mirco-Service Tracing System Based on Istio and Kubernetes,2019,2019 IEEE 10th International Conference on Software Engineering and Service Science (ICSESS),IEEE
"5G-STREAM: Service Mesh Tailored for Reliable, Efficient and Authorized Microservices in the Cloud",2025,2025 55th Annual IEEE/IFIP International Conference on Dependable Systems and Networks (DSN),IEEE
Breaking the Vicious Circle: Self-Adaptive Microservice Circuit Breaking and Retry,2023,2023 IEEE International Conference on Cloud Engineering (IC2E),IEEE
Optimization of Microservices Security,2021,2021 3rd International Conference on Advancements in Computing (ICAC),IEEE
MicroSplit: Efficient Splitting of Microservices on Edge Clouds,2022,2022 IEEE/ACM 7th Symposium on Edge Computing (SEC),IEEE
Evaluating Kubernetes CNIs for IoT: A Case Study with Raspberry Pi Clusters and Distributed MariaDB with Galera,2025,2025 LI Latin American Computer Conference (CLEI),IEEE
Threat Intelligence Sharing Component in the Service Mesh Architecture,2023,2023 10th International Conference on Future Internet of Things and Cloud (FiCloud),IEEE
Centralised Certificate Revocation Validation Framework for Cloud-Native Service Meshes,2025,2025 2nd International Symposium on Parallel Computing and Distributed Systems (PCDS),IEEE
NAS: A Novel Network-Aware Kubernetes Scheduling Framework Using eBPF Service Mesh,2025,ICC 2025 - IEEE International Conference on Communications,IEEE
A Risk Adaptive Access Control Model for the Service Mesh Architecture,2024,2024 IEEE 3rd International Conference on Computing and Machine Intelligence (ICMI),IEEE
A Framework for Dynamically Meeting Performance Objectives on a Service Mesh,2024,IEEE Transactions on Network and Service Management,IEEE
From Monolith to Microservices: A Systematic Literature Survey,2024,"2024 IEEE 3rd International Conference on Data, Decision and Systems (ICDDS)",IEEE
Cost-Effective Cloud-Edge Elasticity for Microservice Applications,2026,IEEE Transactions on Network and Service Management,IEEE
A Design and Development of Operator for Logical Kubernetes Cluster over Distributed Clouds,2024,NOMS 2024-2024 IEEE Network Operations and Management Symposium,IEEE
An Anomaly Localization Method for Large-Scale Micro-services,2024,2024 4th International Symposium on Computer Technology and Information Science (ISCTIS),IEEE
Improving Microservices Security,2025,2025 IEEE Middle East Conference on Communications and Networking (MECOM),IEEE
μBench: An Open-Source Factory of Benchmark Microservice Applications,2023,IEEE Transactions on Parallel and Distributed Systems,IEEE
A Runtime Trust Evaluation Mechanism in the Service Mesh Architecture,2023,2023 10th International Conference on Future Internet of Things and Cloud (FiCloud),IEEE
Weight based Load Balancing in Kubernetes using AWS,2023,2023 International Conference on Intelligent Data Communication Technologies and Internet of Things (IDCIoT),IEEE
A Hybrid Machine Learning Approach for Service Selection in Sidecar Service Mesh,2025,2025 IEEE International Conference on Data and Software Engineering (ICoDSE),IEEE
On Improved Efficiency of Zero-Trust Tunnel for Inter-Microservices Communication,2024,2024 IEEE International Conference on High Performance Computing and Communications (HPCC),IEEE
Exploring Security Enhancements in Kubernetes CNI: A Deep Dive Into Network Policies,2025,IEEE Access,IEEE
Shimmy: Accelerating Inter-Container Communication for the IoT Edge,2023,GLOBECOM 2023 - 2023 IEEE Global Communications Conference,IEEE
Reotina: an eBPF-Driven Observability Framework for 5G Networks,2025,2025 25th Asia-Pacific Network Operations and Management Symposium (APNOMS),IEEE
Micro-Services Internal Load Balancing for Ultra Reliable Low Latency 5G Online Charging System,2024,2024 26th International Conference on Advanced Communications Technology (ICACT),IEEE
Load Balancing Framework for Scalable Container Orchestration in Large Scale Microservices based Cloud Platforms,2026,2026 International Conference on Electronics and Renewable Systems (ICEARS),IEEE
Balancing Load: An Adaptive Traffic Management Scheme for Microservices,2023,2022 IEEE 28th International Conference on Parallel and Distributed Systems (ICPADS),IEEE
Container-Specific Service Mesh-Based System for Mitigating Lateral Movement Attacks,2026,IEEE Transactions on Cloud Computing,IEEE
Multi-Cloud Connectivity for Kubernetes in 5G Networks,2021,IEEE Communications Magazine,IEEE
Dynamically meeting performance objectives for multiple services on a service mesh,2022,2022 18th International Conference on Network and Service Management (CNSM),IEEE
Service Level Objective Adaptive Energy Efficiency Management,2023,2022 IEEE 28th International Conference on Parallel and Distributed Systems (ICPADS),IEEE
A Study of Service Registration and Discovery Techniques in Microservice Architecture,2022,2022 International Conference on Networking and Network Applications (NaNA),IEEE
Symmetric Orchestration Under Service Mesh Paradigm: Empowering Massive Online Applications in Edge Clouds,2026,IEEE Transactions on Mobile Computing,IEEE
Data-driven Adaptation in Microservice-based IoT Architectures,2020,2020 IEEE International Conference on Software Architecture Companion (ICSA-C),IEEE
Performance Analysis of Different Ingress Controllers Within the Kubernetes Cluster,2024,"2024 IEEE International Conference on Information Technology, Electronics and Intelligent Communication Systems (ICITEICS)",IEEE
MicroFI: Non-Intrusive and Prioritized Request-Level Fault Injection for Microservice Applications,2024,IEEE Transactions on Dependable and Secure Computing,IEEE
Microscaler: Cost-Effective Scaling for Microservice Applications in the Cloud With an Online Learning Approach,2022,IEEE Transactions on Cloud Computing,IEEE
Collaborative Orchestration with Probabilistic Routing for Dynamic Service Mesh in Clouds,2025,IEEE INFOCOM 2025 - IEEE Conference on Computer Communications,IEEE
Protocol-Independent Context Propagation for Sharing Microservices in Multiple Environments,2023,2023 IEEE International Conference on Cloud Engineering (IC2E),IEEE
A Qualitative Evaluation of Service Mesh-based Traffic Management for Mobile Edge Cloud,2022,"2022 22nd IEEE International Symposium on Cluster, Cloud and Internet Computing (CCGrid)",IEEE
ClariNet: Optimizing Cross-Workload Connectivity in VM-Container Hybrid Environments,2025,2025 30th Asia-Pacific Conference on Communications (APCC),IEEE
Leveraging Large Language Models for Anomaly Detection in Microservices Architectures,2025,2025 IEEE/SBC 37th International Symposium on Computer Architecture and High Performance Computing Workshops (SBAC-PADW),IEEE
Microscaler: Automatic Scaling for Microservices with an Online Learning Approach,2019,2019 IEEE International Conference on Web Services (ICWS),IEEE
Graph Attention Networks and Deep Q-Learning for Service Mesh Optimization: A Digital Twinning Approach,2024,ICC 2024 - IEEE International Conference on Communications,IEEE
Anti-patterns Detection in Microservice-Based Software Architectures Using Graph Analysis,2025,2025 9th Iranian Conference on Advances in Enterprise Architecture (ICAEA),IEEE
BZTEF: A Blockchain-Based Zero Trust Enforcement Framework for Cloud-Native Environments,2026,2025 IEEE 19th International Conference on Industrial and Information Systems (ICIIS),IEEE
UAV-Mesh: A Graph-Based Decentralized Service Mesh Framework for UAV Swarms,2025,2025 IEEE International Conference on Web Services (ICWS),IEEE
Zero Trust Security Model Implementation in Microservices Architectures Using Identity Federation,2025,"2025 2nd International Conference on Recent Trends in Electrical, Electronics and Computing Technologies (ICRTEECT)",IEEE
Research on Evaluation Model of Microservice Transformation Based on Business Consistency,2025,"2025 4th International Conference on Artificial Intelligence, Internet and Digital Economy (ICAID)",IEEE
Unlocking Kubernetes Networking Efficiency: Exploring Data Processing Units for Offloading and Enhancing Container Network Interfaces,2023,2023 4th IEEE Global Conference for Advancement in Technology (GCAT),IEEE
Evaluating 5G Core Service Mesh Encapsulations in Cloud Deployments,2024,2024 IEEE Conference on Network Function Virtualization and Software Defined Networks (NFV-SDN),IEEE
An Efficient Traffic Steering for Cloud-Native Service Function Chaining,2020,"2020 23rd Conference on Innovation in Clouds, Internet and Networks and Workshops (ICIN)",IEEE
Adaptive and Application-agnostic Caching in Service Meshes for Resilient Cloud Applications,2021,2021 IEEE 7th International Conference on Network Softwarization (NetSoft),IEEE
"DevSecOps in Practice with VMware Tanzu: Build, run, and manage secure multi-cloud apps at scale on Kubernetes with the Tanzu portfolio",2023,"DevSecOps in Practice with VMware Tanzu: Build, run, and manage secure multi-cloud apps at scale on Kubernetes with the Tanzu portfolio",IEEE
Scalable Policy-as-Code Decision Points for Data Products,2025,2025 IEEE International Conference on Web Services (ICWS),IEEE
BLOC: Balancing Load with Overload Control In the Microservices Architecture,2022,2022 IEEE International Conference on Autonomic Computing and Self-Organizing Systems (ACSOS),IEEE
Online Policy Adaptation for Networked Systems using Rollout,2024,NOMS 2024-2024 IEEE Network Operations and Management Symposium,IEEE
Service Mesh: The Rise of Event-Driven Asynchronous Mesh in Cloud Continuum,2026,IT Professional,IEEE
Empirical Benchmarking of a Low-Latency Cloud-Native Testbed for High-Complexity AI-Enabled Network Functions in B5G Edge,2025,2025 3rd International Conference on Foundation and Large Language Models (FLLM),IEEE
Automated Canary Analysis for Kubernetes Deployments,2025,2025 IEEE Cloud Summit,IEEE
Evaluating Mesh Communications in Disaggregated Near-RT RIC for 5G Open RAN: a Functional and Performance Analysis,2024,GLOBECOM 2024 - 2024 IEEE Global Communications Conference,IEEE
Anomaly Detection in Microservices Architecture Using Graph Neural Networks,2025,"2025 33rd Euromicro International Conference on Parallel, Distributed, and Network-Based Processing (PDP)",IEEE
Cost Efficient Service Mesh Controller Placement for Edge Native Computing,2022,GLOBECOM 2022 - 2022 IEEE Global Communications Conference,IEEE
Migration for Cloud-Native VNF in Open Source MANO,2023,2023 International Conference on Future Communications and Networks (FCN),IEEE
"Service Mesh: Challenges, State of the Art, and Future Research Opportunities",2019,2019 IEEE International Conference on Service-Oriented System Engineering (SOSE),IEEE
Cloud-native Service Function Chaining for 5G based on Network Service Mesh,2020,ICC 2020 - 2020 IEEE International Conference on Communications (ICC),IEEE
Service Mesh Controller for Cooperative Load Balancing among Neighboring Edge Servers,2022,2022 IEEE International Symposium on Local and Metropolitan Area Networks (LANMAN),IEEE
A time-sensitive cloud-native network based on eBPF,2024,2024 27th International Conference on Computer Supported Cooperative Work in Design (CSCWD),IEEE
Analysis of Potential Threats in NextGen 5G Core,2022,2022 International Symposium on Electronics and Telecommunications (ISETC),IEEE
Koney: A Cyber Deception Orchestration Framework for Kubernetes,2025,2025 IEEE European Symposium on Security and Privacy Workshops (EuroS&PW),IEEE
End-to-End Security Policy Automation with Multi-LLM Agents in Cloud-Native Systems,2025,"2025 IEEE 24th International Conference on Trust, Security and Privacy in Computing and Communications (TrustCom)",IEEE
Comparing Transfer Learning and Rollout for Policy Adaptation in a Changing Network Environment,2024,NOMS 2024-2024 IEEE Network Operations and Management Symposium,IEEE
ViperProbe: Rethinking Microservice Observability with eBPF,2020,2020 IEEE 9th International Conference on Cloud Networking (CloudNet),IEEE
"An Empirical Study on Microservices Deployment Trends, Topics and Challenges in Stack Overflow",2025,"2025 IEEE International Conference on Software Analysis, Evolution and Reengineering (SANER)",IEEE
Towards Orchestration in the Cloud-Fog Continuum,2021,SoutheastCon 2021,IEEE
Decentralized Authentication in Microservice Architectures with SSI and DID in Blockchain,2023,2023 IEEE International Conference on Cloud Computing Technology and Science (CloudCom),IEEE
cnFlow: An eBPF-Driven Telemetry Framework for Cloud-Native Networks,2025,2025 16th International Conference on Information and Communication Technology Convergence (ICTC),IEEE
Deploying the observability of the SigSaude system using service mesh,2020,2020 20th International Conference on Computational Science and Its Applications (ICCSA),IEEE
Kubernetes-Based Network Functions Orchestration for 5G Core Networks with Open Source MANO,2022,2022 International Symposium on Electronics and Telecommunications (ISETC),IEEE
A Framework for Secure and Scalable State Management in Cloud-Native Multi-Modal AI Agents,2025,"2025 IEEE 16th Annual Ubiquitous Computing, Electronics & Mobile Communication Conference (UEMCON)",IEEE
Validation and Benchmarking of CNFs in OSM for pure Cloud Native applications in 5G and beyond,2021,2021 International Conference on Computer Communications and Networks (ICCCN),IEEE
Anomaly Detection and Root Cause Analysis in Cloud-Native Environments Using Large Language Models and Bayesian Networks,2025,IEEE Access,IEEE
AI-Driven Ground Robots: Mobile Edge Computing and mmWave Communications at Work,2024,IEEE Open Journal of the Communications Society,IEEE
EAST Experimental Data Gateway Based on RESTful and Microservice Architecture,2023,2023 4th International Conference on Computer Engineering and Application (ICCEA),IEEE
Intelligent Service Mesh Framework for API Security and Management,2019,"2019 IEEE 10th Annual Information Technology, Electronics and Mobile Communication Conference (IEMCON)",IEEE
Service Routing in Multi-Tier Edge Computing: A Matching Game Approach,2023,IEEE Journal on Selected Areas in Communications,IEEE
Securing the Cloud-Native 5G Control Plane,2024,MILCOM 2024 - 2024 IEEE Military Communications Conference (MILCOM),IEEE
A Comparative Study of Security Mechanisms to Prevent Denial of Service (Dos) Attacks in Kubernetes,2025,2025 13th International Conference in Software Engineering Research and Innovation (CONISOFT),IEEE
Building an effective KPI monitoring system for an OTT Platform,2024,2024 International Conference on Emerging Systems and Intelligent Computing (ESIC),IEEE
Adaptive Plugin Architecture Optimization and Cloud-Native Deployment Strategy for AutoML Systems,2025,2025 10th International Conference on Cyber Security and Information Engineering (ICCSIE),IEEE
"Container Security: Issues, Challenges, and the Road Ahead",2019,IEEE Access,IEEE
An East-West-Traffic Governance System Based on eBPF and Centralized Gateway,2023,"2023 IEEE International Conference on Sensors, Electronics and Computer Engineering (ICSECE)",IEEE
Leveraging the cloud-native approach for the design of 5G NextGen Core Functions,2022,2022 14th International Conference on Communications (COMM),IEEE
"Cloud-Native Network Slicing in 5G-Enabled Iot Systems: Architectures, Mechanisms, and Applications",2026,"2026 5th International Conference on Communication, Computing and Electronics Systems (ICCCES)",IEEE
Proxyless Zero Trust for Edge and IoT: Decoupling Control and Data Paths,2025,2025 7th International Conference on Blockchain Computing and Applications (BCCA),IEEE
A Software-Defined Networking Solution for Interconnecting Network Functions in Service-Based Architectures,2022,IEEE Access,IEEE
VNF Lifecycle Evaluation Study for Virtualized FeMBMS,2022,2022 Joint European Conference on Networks and Communications & 6G Summit (EuCNC/6G Summit),IEEE
PuzzleMesh: A Puzzle Model to Build Mesh of Agnostic Services for Edge-Fog-Cloud,2023,IEEE Transactions on Services Computing,IEEE
On design and implementation of a cloud-native B5G mobile core network,2023,2023 IEEE 12th International Conference on Cloud Networking (CloudNet),IEEE
"DCE: A High-Performance, Scalable, Enterprise-Level Cloud Native Operating System",2023,2023 IEEE 8th International Conference on Smart Cloud (SmartCloud),IEEE
A Multi-Layered Zero Trust Microsegmentation Solution for Cloud-Native 5G & Beyond Networks,2025,2025 IEEE Wireless Communications and Networking Conference (WCNC),IEEE
Elastic Scaling of Real-Time Communication Services,2026,IEEE Transactions on Network and Service Management,IEEE
"Towards a Stateless Cloud Native and Cloud Agnostic Digital Twin Platform for the Digital Product Passport: Out-of-the-box, Reliable, and Scaling",2024,2024 IEEE 29th International Conference on Emerging Technologies and Factory Automation (ETFA),IEEE
SliMANO: An Expandable Framework for the Management and Orchestration of End-to-end Network Slices,2019,2019 IEEE 8th International Conference on Cloud Networking (CloudNet),IEEE
Top Design of Digitalization Specialty in a Power Company Based on TOGAF Framework,2025,2025 7th International Conference on Frontier Technologies of Information and Computer (ICFTIC),IEEE
Evaluating CNI Plugins Features & Tradeoffs for Edge Cloud Applications,2024,2024 IEEE Symposium on Computers and Communications (ISCC),IEEE
SEAWALL: Seamless Low Latency Cloud Platforms for the Industry 4.0,2022,2022 5th Conference on Cloud and Internet of Things (CIoT),IEEE
Enhanced client-side internal load balancing for in 5G Online Charging System,2024,"2024 IEEE 48th Annual Computers, Software, and Applications Conference (COMPSAC)",IEEE
Virtual Reality System Architecture Design for Digital Transformation of Education,2025,2025 IEEE 8th International Conference on Information Systems and Computer Aided Education (ICISCAE),IEEE
Analyzing the impact of VIM systems over the MEC management and orchestration in vehicular communications,2020,2020 29th International Conference on Computer Communications and Networks (ICCCN),IEEE
Designing a Multi-Layered Rate Limiting Framework for Resilient Cloud-Native Systems,2025,2025 Fourth International Conference on Smart Technologies and Systems for Next Generation Computing (ICSTSN),IEEE
Divide and Conquer: Hierarchical Network and Service Coordination,2021,2021 IFIP/IEEE International Symposium on Integrated Network Management (IM),IEEE
6G Distributed Autonomous Core Network with Proxy Architecture and HTTP/3 Transport,2024,2024 International Conference on Future Communications and Networks (FCN),IEEE
Adversarial Adaptive Cloud-Native Security: A Dynamic Defense System Based on Online Adversarial Training and Reinforcement Learning,2025,2025 10th International Conference on Computer and Information Processing Technology (ISCIPT),IEEE
Coupling Orchestration and DNS for Seamless Service Migration in the Edge–Cloud Continuum,2025,2025 IEEE 33rd International Conference on Network Protocols (ICNP),IEEE
Self-Learning Multi-Objective Service Coordination Using Deep Reinforcement Learning,2021,IEEE Transactions on Network and Service Management,IEEE
Self-Driving Network and Service Coordination Using Deep Reinforcement Learning,2020,2020 16th International Conference on Network and Service Management (CNSM),IEEE
Distributed Online Service Coordination Using Deep Reinforcement Learning,2021,2021 IEEE 41st International Conference on Distributed Computing Systems (ICDCS),IEEE
Zero Touch Rolling Upgrade Cloud-native Network Functions,2025,2025 27th International Conference on Advanced Communications Technology (ICACT),IEEE
Evolution of Policy Verification and Control for 6G Secure Service Orchestration in Telco Clouds,2025,2025 Joint European Conference on Networks and Communications & 6G Summit (EuCNC/6G Summit),IEEE
Research on intelligent prediction model of big data mining and cloud computing based on deep learning,2025,4th International Conference on Artificial Intelligence and Autonomous Robot Systems (AIARS 2025),IEEE
Mesh-Aware Debugging: Identifying Resource Allocation Issues in Distributed Microservices,2025,Acta Polytechnica Hungarica,Scopus
Research on computing power network technology for stateless computing services; [面向无状态计算服务的算力网络技术研究],2025,Tongxin Xuebao/Journal on Communications,Scopus
Fine-Grained Management for Microservice Applications with Lazy Configuration Distribution,2023,Electronics (Switzerland),Scopus
Context-Aware Security Policies for Data-Driven Applications in Cloud-Native Architectures,2025,Journal of Internet Services and Information Security,Scopus
Microservice Deployment Based on Multiple Controllers for User Response Time Reduction in Edge-Native Computing,2025,Sensors,Scopus
HADES: An NFV solution for energy-efficient placement and resource allocation in heterogeneous infrastructures,2024,Journal of Network and Computer Applications,Scopus
Kubernetes as a Standard Container Orchestrator - A Bibliometric Analysis,2022,Journal of Grid Computing,Scopus
Enhancing Load Balancing in Computer-Aided Medical Systems Using Deep Reinforcement Learning,2024,Computer-Aided Design and Applications,Scopus
"Evaluate Canary Deployment Techniques Using Kubernetes, Istio, and Liquibase for Cloud Native Enterprise Applications to Achieve Zero Downtime for Continuous Deployments",2024,IEEE Access,Scopus
Comparison of management and orchestration solutions for the 5G era,2020,Journal of Sensor and Actuator Networks,Scopus
Explainable GNN-Based Approach to Fault Forecasting in Cloud Service Debugging,2025,IEEE Transactions on Network and Service Management,Scopus
Network shortcut in data plane of service mesh with eBPF,2024,Journal of Network and Computer Applications,Scopus
Xel: A cloud-agnostic data platform for the design-driven building of high-availability data science services,2023,Future Generation Computer Systems,Scopus
Micro Services-Based Integral Architecture for Digital Transformation: a Scalable and Modular Approach,2024,International Journal on Engineering Applications,Scopus
S-ZAC: Hardening Access Control of Service Mesh Using Intel SGX for Zero Trust in Cloud,2024,Electronics (Switzerland),Scopus
"Dynamic Optimization in 5G Network Slices: A Comparative Study of Whale Optimization, Particle Swarm Optimization, and Genetic Algorithm",2024,International Journal of Electrical and Electronics Research,Scopus
A Hybrid Zero Trust Deployment Model for Securing O-RAN Architecture in 6G Networks,2025,Future Internet,Scopus
PiCoP: Service Mesh for Sharing Microservices in Multiple Environments Using Protocol-Independent Context Propagation,2025,IEEE Transactions on Cloud Computing,Scopus
A service mesh approach to integrate processing patterns into microservices applications,2024,Cluster Computing,Scopus
