"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Large-Scale Service Mesh Orchestration With Probabilistic Routing in Cloud Data Centers","K. Peng; Y. Hu; H. Ding; H. Chen; L. Wang; C. Cai; M. Hu","Hubei Key Laboratory of Smart Internet Technology, School of Electronic Information and Communications, Huazhong University of Science and Technology, Wuhan, China; Hubei Key Laboratory of Smart Internet Technology, School of Electronic Information and Communications, Huazhong University of Science and Technology, Wuhan, China; Hubei Key Laboratory of Smart Internet Technology, School of Electronic Information and Communications, Huazhong University of Science and Technology, Wuhan, China; Hubei Key Laboratory of Smart Internet Technology, School of Electronic Information and Communications, Huazhong University of Science and Technology, Wuhan, China; Hubei Key Laboratory of Smart Internet Technology, School of Electronic Information and Communications, Huazhong University of Science and Technology, Wuhan, China; College of Life Science and Technology, Huazhong University of Science and Technology, Wuhan, China; Hubei Key Laboratory of Smart Internet Technology, School of Electronic Information and Communications, Huazhong University of Science and Technology, Wuhan, China",IEEE Transactions on Services Computing,"11 Apr 2025","2025","18","2","868","882","Service mesh architectures are emerging as a promising microservice paradigm for developing online cloud applications. However, in large-scale microservice scenarios, frequent service communications, intricate call dependencies, and stringent latency requirements bring great pressure to efficient service mesh orchestration. In this case, the problems of service deployment and request routing based on service mesh architectures are tightly-coupled and interdependent, and cannot be effectively optimized individually, enlarging the difficulty for collaborative orchestration. When microservice multiplexing, parallel dependencies, and multi-instance modeling are considered, the difficulty is further aggravated. Nonetheless, most existing work failed to propose appropriate models and methods for the above challenges. Therefore, this article studies the large-scale service mesh orchestration with probabilistic routing and constrained bandwidths for parallel call graphs. We leverage the open Jackson queuing network theory to capture crucial microservices and analyze request processing, queuing, and communication latency for massive user requests in a fine-grained way. Then, this article proposes an efficient three-stage heuristic, which achieves elegant multi-instance consolidation and probabilistic multi-queue routing to reduce response latency and cost. We also provide the algorithm complexity and mathematical analysis of the performance. Finally, extensive trace-driven experiments are performed to validate the superiority of our proposed algorithm over other baselines.","1939-1374","","10.1109/TSC.2025.3526373","National Science and Technology Major Project of China(grant numbers:2022ZD0117104); National Natural Science Foundation of China(grant numbers:62171189); Key Research and Development Program of Hubei Province(grant numbers:2022BAA038,2023BAB074,2024BAB016,2024BAB031); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10847942","Services computing;queuing theory;service mesh;microservice orchestration;probabilistic routing;clouds","Microservice architectures;Routing;Costs;Optimization;Queueing analysis;Probabilistic logic;Multiplexing;Data centers;Collaboration;Resource management","","6","","45","IEEE","20 Jan 2025","March-April 2025","","IEEE","IEEE Journals"
"A Web-based Orchestrator for Dynamic Service Function Chaining Development with Kubernetes","Z. Wang; A. Bittar; C. Huang; C. -H. Lung; G. Shami","Department of Computer and System Engineering, Carleton University, Ottawa, Canada; Department of Computer and System Engineering, Carleton University, Ottawa, Canada; Department of Computer and System Engineering, Carleton University, Ottawa, Canada; Department of Computer and System Engineering, Carleton University, Ottawa, Canada; External Research, Office of CTO Ciena Corporation, Ottawa, Canada",2022 IEEE 8th International Conference on Network Softwarization (NetSoft),"3 Aug 2022","2022","","","234","236","The research community has been moving attention from Virtual Network Function (VNF) to Cloud-native Network Function (CNF) since cloudification has brought the Network Function Virtualization (NFV) to an advanced level. It has already been demonstrated that cloud-native technology brings high flexibility and efficiency to large-scale network service deployment compared to the traditional VNF with Virtual Machines (VMs). However, more work is needed to provide a flexible and reliable Service Function Chaining (SFC) development solution in a cloud-native environment. This paper proposes a web-based orchestrator system to deploy an SFC use case consisting of multiple CNFs in a multi-node Kubernetes cluster using Network Service Mesh (NSM). We demonstrate a cloud-native SFC framework that allows users to dynamically create container-based SFC rather than the traditional VMs with NFV/SDN controller approach. Further, additional work is presented with the support of an open-source monitoring system, Prometheus, to validate the SFC path.","2693-9789","978-1-6654-0694-9","10.1109/NetSoft54395.2022.9844086","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9844086","Cloud-native;Service Function Chaining;Network Service Mesh;Kubernetes;Prometheus","Cloud computing;Service function chaining;Conferences;Virtual machining;Network function virtualization;Reliability;Open source software","","8","","12","IEEE","3 Aug 2022","27 June-1 July 2022","27 June-1 July 2022","IEEE","IEEE Conferences"
"A Mirco-Service Tracing System Based on Istio and Kubernetes","M. Song; Q. Liu; H. E.","Department of Computer Science, Beijing University of Posts and Telecommunications, Beijing, China; Department of Computer Science, Beijing University of Posts and Telecommunications, Beijing, China; Department of Computer Science, Beijing University of Posts and Telecommunications, Beijing, China",2019 IEEE 10th International Conference on Software Engineering and Service Science (ICSESS),"19 Mar 2020","2019","","","613","616","In the development of micro-service architecture, fast error service location and the combing of service invocation chains are the key issues to be resolved. Otherwise, with the expansion of the system scale, the maintenance cost of the system will grow rapidly. Meanwhile, the existing tracing solution, such as Spring-Cloud, need a lot of modifications to the source code of the original system to embed, and the cost of modification is high. Based on this, this paper designs a micro-service tracing system based on Istio and container technology. This system can monitor and collect the calling information between micro-services in the micro-service architecture system. Through further analysis of this information, the duration of the single-step call and the dependence between services can also be discovered. At the same time, the tracing system has low code intrusion to the original system. Finally, we do experiments to prove that the tracing system has little impact on the performance of the original system.","2327-0594","978-1-7281-0945-9","10.1109/ICSESS47205.2019.9040783","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9040783","Mirco-service;Tracing System;Istio","Costs;Codes;Source coding;Machine learning;Containers;Topology;Maintenance;Monitoring;Software engineering;Business","","15","","13","IEEE","19 Mar 2020","18-20 Oct. 2019","18-20 Oct. 2019","IEEE","IEEE Conferences"
"5G-STREAM: Service Mesh Tailored for Reliable, Efficient and Authorized Microservices in the Cloud","T. O. Atalay; A. Famili; S. Maitra; D. Stojadinovic; A. Stavrou; H. Wang","Department of Electrical and Computer Engineering, Virginia Tech, USA; Department of Electrical and Computer Engineering, Virginia Tech, USA; Department of Electrical and Computer Engineering, Virginia Tech, USA; Kryptowire, LLC, McLean, VA, USA; Department of Electrical and Computer Engineering, Virginia Tech, USA; Department of Electrical and Computer Engineering, Virginia Tech, USA",2025 55th Annual IEEE/IFIP International Conference on Dependable Systems and Networks (DSN),"11 Jul 2025","2025","","","116","128","Existing registration, discovery, and authorization mechanisms in the 5G core control plane present scalability and efficiency challenges. As cellular deployments scale to accommodate diverse user demands, the 5G core control plane suffers from increased inter-Virtual Network Function (VNF) communication latency, thus deteriorating the reliability of critical procedures. To address this problem, we propose 5G-STREAM (Service mesh Tailored for Reliable, Efficient, and Authorized Microservices) to optimize control plane traffic in distributed cloud environments by establishing a topology awareness of service chains across cloud hierarchies. Leveraging this awareness, 5G-STREAM dynamically configures communication pathways to reduce discovery and authorization signaling overhead, thus increasing the reliability of inter-VNF communication. We develop a prototype of 5G-STREAM and evaluate its performance. Our evaluation results show that 5G-STREAM significantly reduces the process completion time in core service chains by up to 2× inter VNF-Network Repository Function (NRF) latency per transaction, with more pronounced benefits in larger service chains. Furthermore, we show that the cost required to deploy 5G-STREAM is an additional 0.1 USD/hr on AWS for a VNF handling a sustained rate of 50,000 requests/minute.","2158-3927","979-8-3315-1201-9","10.1109/DSN64029.2025.00025","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11068860","5G Core;Cloud Computing;System Design","Authorization;Cloud computing;Costs;5G mobile communication;Network topology;Scalability;Prototypes;Microservice architectures;Reliability engineering;Topology","","","","40","IEEE","11 Jul 2025","23-26 June 2025","23-26 June 2025","IEEE","IEEE Conferences"
"Breaking the Vicious Circle: Self-Adaptive Microservice Circuit Breaking and Retry","M. R. Saleh Sedghpour; D. Garlan; B. Schmerl; C. Klein; J. Tordsson","Department of Computing Science, Umeå University, Umeå, Sweden; School of Computer Science, Carnegie Mellon University, Pittsburgh, USA; School of Computer Science, Carnegie Mellon University, Pittsburgh, USA; Department of Computing Science, Umeå University, Umeå, Sweden; Department of Computing Science, Umeå University, Umeå, Sweden",2023 IEEE International Conference on Cloud Engineering (IC2E),"6 Nov 2023","2023","","","32","42","Microservice-based architectures consist of numerous, loosely coupled services with multiple instances. Service meshes aim to simplify traffic management and prevent microservice overload through circuit breaking and request retry mechanisms. Previous studies have demonstrated that the static configuration of these mechanisms is unfit for the dynamic environment of microservices. We conduct a sensitivity analysis to understand the impact of retrying across a wide range of scenarios. Based on the findings, we propose a retry controller that can also work with dynamically configured circuit breakers. We have empirically assessed our proposed controller in various scenarios, including transient overload and noisy neighbors while enforcing adaptive circuit breaking. The results show that our proposed controller does not deviate from a well-tuned configuration while maintaining carried response time and adapting to the changes. In comparison to the default static retry configuration that is mostly used in practice, our approach improves the carried throughput up to 12x and 32x respectively in the cases of transient overload and noisy neighbors.","2694-0825","979-8-3503-4394-6","10.1109/IC2E59103.2023.00012","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10305819","reliability;retry mechanism;circuit breaker pattern;service mesh;microservices","Sensitivity analysis;Circuit breakers;Microservice architectures;Throughput;Reliability engineering;Control theory;Noise measurement","","9","","51","IEEE","6 Nov 2023","25-29 Sept. 2023","25-29 Sept. 2023","IEEE","IEEE Conferences"
"Optimization of Microservices Security","D. C. Kalubowila; S. M. Athukorala; B. A. S. Tharaka; H. W. Y. R. Samarasekara; U. S. S. Samaratunge Arachchilage; D. Kasthurirathna","Department of Computer Science and Software Engineering, Sri Lanka Institute of Information Technology, Malabe, Sri Lanka; Department of Computer Science and Software Engineering, Sri Lanka Institute of Information Technology, Malabe, Sri Lanka; Department of Computer Science and Software Engineering, Sri Lanka Institute of Information Technology, Malabe, Sri Lanka; Department of Computer Science and Software Engineering, Sri Lanka Institute of Information Technology, Malabe, Sri Lanka; Department of Computer Science and Software Engineering, Sri Lanka Institute of Information Technology, Malabe, Sri Lanka; Department of Computer Science and Software Engineering, Sri Lanka Institute of Information Technology, Malabe, Sri Lanka",2021 3rd International Conference on Advancements in Computing (ICAC),"11 Jan 2022","2021","","","49","54","Microservices is a trending architecture, and due to its demanding features and behaviors, billions of business applications are developed based on it. Due to its remarkable ability to deploy and coordinate containerized microservices, Kubernetes deployments support the service mesh architectures, and that ensures secured inter-service communication. The Istio is the widely used service mesh tool at present. However, service-to-service communication happens in the present Istio architecture, and there is a probability of exchanging unauthorized and over-provisioned requests due to incorrect implementation. Currently, these requests are verified within the upstream microservice. Obtaining a response to an erroneous request may take considerable time latency. This research thereby aims to address a solution to reduce the latency of a response by implementing an external validation model. The proposed external validation model ensures that the required parameters are validated and actions are taken before requests reach the service level. External validation enables applications to save significant time and resources.","","978-1-6654-0862-2","10.1109/ICAC54203.2021.9671131","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9671131","Kubernetes;Istio;Microservices;Reverse Proxy;Envoy;Inter Service Communication security;Pod security;Optimizaton","Codes;Microservice architectures;Computer architecture;Network security;Software;Optimization;Business","","12","","25","IEEE","11 Jan 2022","9-11 Dec. 2021","9-11 Dec. 2021","IEEE","IEEE Conferences"
"MicroSplit: Efficient Splitting of Microservices on Edge Clouds","A. Rahmanian; A. Ali-Eldin; B. Skubic; E. Elmroth","Department of Computing Science, Umeå University, Umeå, Sweden; Department of Computer Science and Engineering, Chalmers University of Technology, Gothenburg, Sweden; Cloud Systems and Platforms, Ericsson Research, Stockholm, Sweden; Department of Computing Science, Umeå University, Umeå, Sweden",2022 IEEE/ACM 7th Symposium on Edge Computing (SEC),"2 Jan 2023","2022","","","252","264","Edge cloud systems reduce the latency between users and applications by offloading computations to a set of small-scale computing resources deployed at the edge of the network. However, since edge resources are constrained, they can become saturated and bottlenecked due to increased load, resulting in an exponential increase in response times or failures. In this paper, we argue that an application can be split between the edge and the cloud, allowing for better performance compared to full migration to the cloud, releasing precious resources at the edge. We model an application's internal call-Graph as a Directed-Acyclic-Graph. We use this model to develop MicroSplit, a tool for efficient splitting of microservices between constrained edge resources and large-scale distant backend clouds. MicroSplit analyzes the dependencies between the microservices of an application, and using the Louvain method for community detection-a popular algorithm from Network Science-decides how to split the microservices between the constrained edge and distant data centers. We test MicroSplit with four microservice based applications in various realistic cloud-edge settings. Our results show that Microsplit migrates up to 60 % of the microservices of an application with a slight increase in the mean-response time compared to running on the edge, and a latency reduction of up to 800 % compared to migrating the entire application to the cloud. Compared to other methods from the State-of-the-Art, MicroSplit reduces the total number of services on the edge by up to five times, with minimal reduction in response times.","","978-1-6654-8611-8","10.1109/SEC54971.2022.00027","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9996745","Edge clouds;micro services;service mesh;Lou-vain community detection","Data centers;Image edge detection;Microservice architectures;Complex networks;Time factors;Resource management;Load modeling","","11","","54","IEEE","2 Jan 2023","5-8 Dec. 2022","5-8 Dec. 2022","IEEE","IEEE Conferences"
"Evaluating Kubernetes CNIs for IoT: A Case Study with Raspberry Pi Clusters and Distributed MariaDB with Galera","P. Rojas; J. Sanabria","EISC, Universidad del Valle, Cali, Colombia; EISC, Universidad del Valle, Cali, Colombia",2025 LI Latin American Computer Conference (CLEI),"11 Mar 2026","2025","","","1","8","The deployment of Kubernetes in IoT edge environments presents unique challenges due to the resource constraints of devices such as Raspberry Pi clusters. A critical factor influencing performance in these deployments is the choice of Container Network Interface (CNI), which governs the communication between containers in the cluster. This paper evaluates the performance of three widely used CNIs—Flannel, Calico, and Cilium—within a Kubernetes cluster deployed on a testbed of Raspberry Pi 4B devices. Using BenchBase to benchmark a distributed MariaDB Galera Cluster, key metrics such as throughput and latency were analyzed across various workloads. The results demonstrate that Cilium outperformed the other CNIs in terms of throughput and latency, highlighting the advantages of its eBPF-based design. Calico exhibited competitive performance, particularly in scenarios requiring robust routing capabilities, while Flannel lagged significantly due to its simpler architecture. These findings provide empirical insights into the suitability of CNIs for IoT edge deployments and offer practical guidance for optimizing Kubernetes networking in resourceconstrained environments.","2771-5752","979-8-3315-9453-4","10.1109/CLEI67442.2025.11420695","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11420695","ubernetes;Container Network Interface (CNI);Raspberry Pi Cluster;Distributed Systems;MariaDB;Galera Cluster;Performance Evaluation;Container Orchestration","Performance evaluation;Distributed databases;Containers;Benchmark testing;Traffic control;Throughput;Routing;Internet of Things;Network interfaces;Security","","","","12","IEEE","11 Mar 2026","27-31 Oct. 2025","27-31 Oct. 2025","IEEE","IEEE Conferences"
"Threat Intelligence Sharing Component in the Service Mesh Architecture","R. Alboqmi; S. Jahan; R. Gamble","Tandy School of Computer Science, University of Tulsa, Tulsa, OK, USA; Department of Computer Science, Oklahoma State University, Stillwater, OK, USA; Tandy School of Computer Science, University of Tulsa, Tulsa, OK, USA",2023 10th International Conference on Future Internet of Things and Cloud (FiCloud),"29 Jan 2024","2023","","","320","327","The service mesh is a dedicated infrastructure layer in a microservice architecture (MSA) to handle service-to-service communication through application programming interface (API) calls. The service mesh employs features for continuous monitoring and ensuring delivery of service requests among services securely and reliably. The service mesh should enable threat intelligence sharing among the services at runtime as a part of continuous monitoring so that services are aware of potential threats and adapt to mitigate the threats. Threat intelligence contains detailed descriptions of attack tactics, techniques, and procedures (TTP) that are analyzed for countermeasure deployment. In this paper, we introduce threat intelligence sharing (TIS) into the control plane of the service mesh to enable the sharing of threat intelligence among services in an automated manner. It requires a structured format to specify threat intelligence and a well-defined protocol for sharing intelligence. We adopt a structured threat information expression (STIX) schema to specify threat intelligence and use the trusted automated exchange of intelligence information (TAXII) as a defined protocol to share threat intelligence as STIX documents. The advantage of including a TIS component in the service mesh is that it can generate threat intelligence using available telemetry data and enable sharing among the services without forcing services to modify their functionalities to support the process. We experiment with the TIS component’s effectiveness using an open-source MSA application called Online Boutique, which uses the service mesh platform, Istio, and Kubernetes as the orchestration solution.","","979-8-3503-1635-3","10.1109/FiCloud58648.2023.00054","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10410702","microservice application;threat intelligence;service mesh;runtime;telemetry data","Protocols;Runtime;Microservice architectures;Telemetry;Reliability;Monitoring;Application programming interfaces","","4","","28","IEEE","29 Jan 2024","14-16 Aug. 2023","14-16 Aug. 2023","IEEE","IEEE Conferences"
"Centralised Certificate Revocation Validation Framework for Cloud-Native Service Meshes","S. Kumar","Cisco Systems, United Kingdom",2025 2nd International Symposium on Parallel Computing and Distributed Systems (PCDS),"6 Mar 2026","2025","","","1","7","Public Key Infrastructure (PKI) establishes the fundamental trust for services on the public internet, enabling applications to ensure secure data exchange. While X.509 digital certificates are regarded as the foundation of this trust, their revocation due to private key compromise, policy violations, CA infrastructure breaches, and mis-issuance require robust revocation validation to prevent impersonation and Man-in-the-Middle (MiTM) attacks. The browsers on client-side generally perform these validations via the offline Certificate Revocation List (CRL) bundle or Online Certificate Status Protocol (OCSP). However, microservices and other cloud-based applications encounter several challenges such as undue latency and reliability with traditional OCSP/CRL checks. Managing the complexity of consistent validation across various development environment represents a significant operational burden. Revocation checks are mandated in PCI DSS v4.0, eIDAS, and FedRAMP.Our centralised framework addresses performance and reliability challenges in certificate revocation validation for cloud-native microservices by leveraging a multi-layer validation strategy that orchestrates Bloom filters, OCSP stapling, and on-demand OCSP/CRL checks with advanced caching. Validation logic is integrated out-of-band using Server Name Indication (SNI) injected via an Envoy proxy. This approach minimises latency while providing essential security controls. The proposed architecture includes resilient caching mechanisms and a ‘fail-open’ design with an adaptive failed-domain cache, ensuring high availability and graceful degradation. We deployed a Proof of Concept (POC) in a public cloud environment to validate the framework’s effectiveness; performance metrics were collected and presented as part of this paper.","","979-8-3315-8027-8","10.1109/PCDS68697.2025.11415294","Cisco Systems; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11415294","Certificate Validation;Revocation;OCSP Stapling;CRL;Bloom Filter;Short-lived Certificates;TLS;Service Mesh;Istio;Envoy;ECH;ESNI","Cloud computing;Filters;Protocols;Public key;Microservice architectures;Parallel processing;Performance metrics;Reliability;Servers;Security","","","","36","IEEE","6 Mar 2026","11-13 Dec. 2025","11-13 Dec. 2025","IEEE","IEEE Conferences"
"NAS: A Novel Network-Aware Kubernetes Scheduling Framework Using eBPF Service Mesh","V. K. K. Ragavan; D. Nadig","Dept. of Computer and Information Technology, Purdue University, West Lafayette, IN; Dept. of Computer and Information Technology, Purdue University, West Lafayette, IN",ICC 2025 - IEEE International Conference on Communications,"26 Sep 2025","2025","","","1512","1517","Kubernetes has become the dominant platform for orchestrating containerized applications in modern cloud environments. However, its default scheduling mechanisms primarily focus on CPU and memory resources, overlooking network performance–a critical factor for latency-sensitive applications in domains like 5G and edge computing. This paper introduces NAS, a novel network-aware scheduling framework that integrates real-time network metrics such as latency and bandwidth using an eBPF-based Cilium service mesh. By incorporating these metrics into the scheduling process, NAS optimizes pod placement for performance-sensitive applications. Experimental results show that NAS reduces average latency by 52.66% compared to the default Kubernetes scheduler and 2.68% compared to Diktyo while minimizing maximum latency spikes by 85.61% and 7.23%, respectively. Further, NAS effectively distributes workloads and provides co-location benefits by considering microservices dependencies and network costs during pod placement.","1938-1883","979-8-3315-0521-9","10.1109/ICC52391.2025.11161235","National Science Foundation(grant numbers:OAC-2346718,OAC-2417607); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11161235","","Measurement;Costs;Processor scheduling;5G mobile communication;Microservice architectures;Bandwidth;Real-time systems;Edge computing","","1","","12","IEEE","26 Sep 2025","8-12 June 2025","8-12 June 2025","IEEE","IEEE Conferences"
"A Risk Adaptive Access Control Model for the Service Mesh Architecture","R. Alboqmi; S. Jahan; R. F. Gamble","Tandy School of Computer Science, University of Tulsa, Tulsa, OK, USA; Department of Computer Science, Oklahoma State University, Stillwater, OK, USA; Tandy School of Computer Science, University of Tulsa, Tulsa, OK, USA",2024 IEEE 3rd International Conference on Computing and Machine Intelligence (ICMI),"11 Jul 2024","2024","","","1","6","Microservice architecture (MSA) applications can be built with a service mesh infrastructure layer that manages service-to-service communications through features, such as access control (AC) that is enforced statically and manually. Attackers attempt to exploit vulnerabilities in services to compromise the entire MSA application. The AC feature of the service mesh needs to be adaptive and capable of enforcing an emerging model called Risk-Adaptive Access Control (RAdAC). As found in the literature, RAdAC adjusts AC policies based on the assessed potential risk of access requests and the operational needs required to maintain the deployed application functionality. This paper introduces an architecture, called SMAAC, to add the self-adaptive AC features to the service mesh while maintaining and enhancing the RAdAC model. SMAAC houses runtime trust evaluation to assess the trustworthiness of a service based on behavioral patterns and quantifying it with a trust metric. In addition, SMAAC houses early threat intelligence sharing to enable threat data sharing in the service mesh. New for this work is enabling SMAAC with access policy generation (APG) that introduces self-adaptation to AC policies when the trust metric of the service request initiator falls below an acceptable level. APG considers the requesting service's impact levels on confidentiality, integrity, and availability that define service sensitivity within the MSA application. The paper introduces SMAAC and provides an initial demonstration of its potential using a third-party MSA application, Bench, that is deployed on the Istio service mesh platform with Kubernetes as the orchestration solution.","","979-8-3503-7297-7","10.1109/ICMI60790.2024.10585800","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10585800","microservice architecture;service mesh;dynamic access control;security;self-adaptation","Access control;Adaptation models;Sensitivity;Runtime;Computational modeling;Microservice architectures;Computer architecture","","5","","30","IEEE","11 Jul 2024","13-14 April 2024","13-14 April 2024","IEEE","IEEE Conferences"
"A Framework for Dynamically Meeting Performance Objectives on a Service Mesh","F. S. Samani; R. Stadler","Department of Computer Science, KTH Royal Institute of Technology, Stockholm, Sweden; Department of Computer Science, KTH Royal Institute of Technology, Stockholm, Sweden",IEEE Transactions on Network and Service Management,"19 Dec 2024","2024","21","6","5992","6007","We present a framework for achieving end-to-end management objectives for multiple services that concurrently execute on a service mesh. We apply reinforcement learning (RL) techniques to train an agent that periodically performs control actions to reallocate resources. We develop and evaluate the framework using a laboratory testbed where we run information and computing services on a service mesh, supported by the Istio and Kubernetes platforms. We investigate different management objectives that include end-to-end delay bounds on service requests, throughput objectives, cost-related objectives, and service differentiation. Our framework supports the design of a control agent for a given management objective. The management objective is defined first and then mapped onto available control actions. Several types of control actions can be executed simultaneously, which allows for efficient resource utilization. Second, the framework separates the learning of the system model and the operating region from the learning of the control policy. By first learning the system model and the operating region from testbed traces, we can instantiate a simulator and train the agent for different management objectives. Third, the use of a simulator shortens the training time by orders of magnitude compared with training the agent on the testbed. We evaluate the learned policies on the testbed and show the effectiveness of our approach in several scenarios. In one scenario, we design a controller that achieves the management objectives with 50% less system resources than Kubernetes HPA autoscaling.","1932-4537","","10.1109/TNSM.2024.3434328","Swedish Governmental Agency for Innovation Systems, VINNOVA, through project ANIARA; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10612769","Performance management;adaptive resource allocation;microservice;reinforcement learning;operating region","Microservice architectures;Measurement;Training;Reinforcement learning;Delays;Resource management;Throughput","","1","","82","CCBY","26 Jul 2024","Dec. 2024","","IEEE","IEEE Journals"
"From Monolith to Microservices: A Systematic Literature Survey","M. Chaturvedi; S. J. Ram; S. S. Shingade; S. R. Swamy","Information Science and Engineering, RV Institute of Technology and Management, Bengaluru, India; Information Science and Engineering, RV Institute of Technology andManagement, Bengaluru, India; Information Science and Engineering, RV Institute of Technology andManagement, Bengaluru, India; Information Science and Engineering, RV Institute of Technology andManagement, Bengaluru, India","2024 IEEE 3rd International Conference on Data, Decision and Systems (ICDDS)","12 Mar 2025","2024","","","1","6","Microservices are an architectural approach that decomposes applications into small, independently deployable services, enhancing scalability and agility. The application of microservices architecture in numerous enterprises, aimed at modernizing their existing applications, emerges as a noteworthy trend. Despite the extensive research conducted on migration processes, there is a noticeable lack in understanding the essential principles necessary for the efficient implementation of microservices architecture. This study seeks to consolidate the comprehension of the fundamental concepts inherent in the object-oriented approach and their importance in both monolithic and microservices architectures. Moreover, an analysis of the design patterns and principles utilized in microservices, along with comparisons to monolithic architectures, is undertaken. The investigation delves into the advantages and disadvantages of monolithic and microservices architectures, offering valuable insights for scholars and practitioners in the field.","","979-8-3503-6389-0","10.1109/ICDDS62937.2024.10910708","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10910708","Microservices;Monolithic;Decomposition;Principles;Patterns;Migration;Challenges;Monolithic Architectures;Domain-Driven Design (DDD);Command Query Responsibility Segregation (CQRS);API Gateway;Service Mesh;Systematic Literature Review (SLR);Systematic Mapping Study (SMS);Practical Motivations;Operational Complexity;Deployment and Scaling;Testing Microservices;Kubernetes;HTTP/REST;gRPC;RabbitMQ;Apache Kafka;AWS SNS/SQS;Orchestration;Circuit Breakers","Surveys;Industries;Systematics;Correlation;Scalability;Microservice architectures;Logic gates;Market research;Complexity theory;Systematic literature review","","1","","15","IEEE","12 Mar 2025","5-7 Dec. 2024","5-7 Dec. 2024","IEEE","IEEE Conferences"
"Cost-Effective Cloud-Edge Elasticity for Microservice Applications","A. Detti; A. Favale","CNIT, Department of Electronic Engineering, University of Rome “Tor Vergata,”, Rome, Italy; CNIT, Department of Electronic Engineering, University of Rome “Tor Vergata,”, Rome, Italy",IEEE Transactions on Network and Service Management,"30 Dec 2025","2026","23","","239","251","Microservice applications, composed of independent containerized components, are well-suited for hybrid cloud–edge deployments. In such environments, placing microservices at the edge can reduce latency but incurs significantly higher resource costs compared to the cloud. This paper addresses the problem of selectively replicating microservices at the edge to ensure that the average user-perceived delay remains below a configurable threshold, while minimizing total deployment cost under a pay-per-use model for CPU, memory, and network traffic. We propose a greedy placement strategy based on a novel analytical model of delay and cost, tailored to synchronous request/response applications in cloud–edge topologies with elastic resource availability. The algorithm leverages telemetry and load balancing capabilities provided by service mesh frameworks to guide edge replication decisions. The proposed approach is implemented in an open-source Kubernetes controller, the Geographical Microservice Autoplacer (GMA), which integrates seamlessly with Istio and Horizontal Pod Autoscalers. GMA automates telemetry collection, cost-aware decision making, and geographically distributed placement. Its effectiveness is demonstrated through simulation and real testbed deployment.","1932-4537","","10.1109/TNSM.2025.3627155","Italian PNRR funds under the RESTART program and EU FLUIDOS Project; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11222805","Edge computing;microservices applications;service meshes","Microservice architectures;Cloud computing;Data centers;Load management;Costs;Frequency modulation;Delays;Analytical models;Edge computing;Telemetry","","","","37","IEEE","30 Oct 2025","2026","","IEEE","IEEE Journals"
